Quantos convidados?,Terá festa?,Qual será a cidade?,Terá religioso?,Em que época do ano vocês se casarão?,Quais serviços você pretende contratar?,Qual é o orçamento planejado para o casamento?,Como você imagina o estilo do seu casamento?,Em qual período do dia será a cerimônia?,Qual o tipo de local você deseja para o casamento?,"Vocês estão planejando uma lua de mel? Se sim, qual o destino?"
471,Sim,Fortaleza,Sim,Outono,"Celebrante, Flores/Decoração, Doces e Bolo, Convites/Material gráfico",43000,Casual,Tarde,Não-religioso,Gramado
355,Não,Salvador,Sim,Outono,"Doces e Bolo, Som e Iluminação",10000,Formal,Tarde,Em ambiente fechado,Fernando de Noronha
219,Sim,Porto Alegre,Sim,Outono,"Bartender, Flores/Decoração, Buffet, Doces e Bolo, Cabelereira, Salão",18500,Semi-formal,Manhã,Religioso,Maldivas
203,Não,Fortaleza,Não,Primavera,"Cabelereira, Doces e Bolo, Entretenimento (DJ, Banda), Cerimonialista, Bartender",41000,Casual,Tarde,Religioso,Paris
474,Não,Porto Alegre,Sim,Outono,"Fotógrafo/Videomaker, Bartender",9500,Formal,Tarde,Não-religioso,Não
403,Sim,Porto Alegre,Não,Inverno,"Buffet, Convites/Material gráfico, Doces e Bolo",6000,Semi-formal,Manhã,Religioso,Fernando de Noronha
131,Não,Belo Horizonte,Sim,Primavera,"Som e Iluminação, Buffet",26500,Formal,Tarde,Em ambiente fechado,Bali
347,Sim,Rio de Janeiro,Sim,Outono,"Fotógrafo/Videomaker, Cabelereira, Cerimonialista, Celebrante",22500,Formal,Tarde,Não-religioso,Paris
160,Sim,Fortaleza,Não,Verão,"Bartender, Buffet",49000,Formal,Manhã,Não-religioso,Toscana
441,Sim,Curitiba,Não,Inverno,"Buffet, Salão, Fotógrafo/Videomaker",30000,Semi-formal,Tarde,Não-religioso,Maldivas
127,Sim,Salvador,Sim,Primavera,"Cerimonialista, Buffet, Fotógrafo/Videomaker, Bartender, Salão",30000,Casual,Noite,Ao ar livre,Bali
238,Sim,Belo Horizonte,Sim,Verão,"Doces e Bolo, Salão, Entretenimento (DJ, Banda)",8000,Semi-formal,Tarde,Em ambiente fechado,Maldivas
434,Sim,Belo Horizonte,Sim,Inverno,"Entretenimento (DJ, Banda), Fotógrafo/Videomaker, Celebrante",43500,Semi-formal,Noite,Religioso,Maldivas
119,Não,Porto Alegre,Não,Verão,"Cerimonialista, Salão, Cabelereira, Doces e Bolo",46000,Semi-formal,Manhã,Em ambiente fechado,Cancún
110,Sim,São Paulo,Não,Inverno,"Convites/Material gráfico, Flores/Decoração, Som e Iluminação, Bartender, Cabelereira, Entretenimento (DJ, Banda)",18000,Casual,Tarde,Não-religioso,Bali
492,Não,Rio de Janeiro,Sim,Inverno,"Celebrante, Buffet, Fotógrafo/Videomaker, Som e Iluminação",43000,Casual,Manhã,Em ambiente fechado,Não
291,Sim,Belo Horizonte,Não,Outono,"Buffet, Cabelereira, Fotógrafo/Videomaker, Cerimonialista",21500,Semi-formal,Tarde,Não-religioso,Não
